Stock Price,Analytical Solution,Numerical Solution (theta=1/3),Numerical Solution (theta=1),Error (theta=1/3),Error (theta=1)
0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,6.964828091718603e-19,6.1301358797124165e-18,6.964828091718603e-19,6.1301358797124165e-18
8.0,0.0,3.2284988175645613e-16,2.1865181756777232e-15,3.2284988175645613e-16,2.1865181756777232e-15
12.0,0.0,4.8810610055401266e-14,2.578534862736337e-13,4.8810610055401266e-14,2.578534862736337e-13
16.0,0.0,3.5455612180481625e-12,1.483132183191155e-11,3.5455612180481625e-12,1.483132183191155e-11
20.0,-2.043101053134831e-15,1.4746820696427248e-10,4.965486203442987e-10,1.4747025006532562e-10,4.965506634453519e-10
24.0,6.864476340762102e-13,3.892021428835493e-09,1.0737420282779232e-08,3.891334981201417e-09,1.0736733835145156e-08
28.0,1.5156411150307005e-10,6.981428294164446e-08,1.6080733309614068e-07,6.966271883014139e-08,1.6065576898463762e-07
32.0,1.0505082389707425e-08,8.948807575638242e-07,1.7551038292155523e-06,8.843756751741167e-07,1.744598746825845e-06
36.0,3.1705723782315307e-07,8.523056161354944e-06,1.45227885059133e-05,8.205998923531791e-06,1.4205731268090148e-05
40.0,5.147545995412019e-06,6.228426808279667e-05,9.407869212268434e-05,5.7136722087384654e-05,8.893114612727232e-05
44.0,5.192314577383435e-05,0.0003590008680865737,0.0004902063366995967,0.00030707772231273935,0.0004382831909257623
48.0,0.00036035341013816377,0.001672640968715377,0.0021033076080236588,0.0013122875585772132,0.001742954197885495
52.0,0.001853822240255494,0.006441831006964114,0.007587293743255254,0.0045880087667086195,0.00573347150299976
56.0,0.007475544667461392,0.020935574674444665,0.02344454086631421,0.013460030006983273,0.01596899619885282
60.0,0.02466330326492233,0.05852648405922872,0.063113758584707,0.03386318079430639,0.038450455319784665
64.0,0.06883779554170166,0.14325588532452085,0.15032704344650255,0.07441808978281919,0.08148924790480089
68.0,0.16692536461345675,0.31205736702752346,0.32128751669607397,0.1451320024140667,0.15436215208261722
72.0,0.3593030128179926,0.6139637940584007,0.6241057029512765,0.25466078124040814,0.26480269013328395
76.0,0.6986686537545186,1.1056403622726771,1.114743950732522,0.40697170851815856,0.4160752969780035
80.0,1.2452995138007363,1.8441263290008696,1.8501074991978717,0.5988268152001333,0.6048079853971353
84.0,2.0595111745803223,2.8788119864238895,2.8801055199248156,0.8193008118435672,0.8205943453444933
88.0,3.1931867196628225,4.244849247936513,4.2408565264726885,1.0516625282736909,1.047669806809866
92.0,4.682539085077451,5.959475488686649,5.950655764934682,1.2769364036091977,1.268116679857231
96.0,6.5437647489664315,8.021634809711763,8.0092704946089,1.4778700607453317,1.465505745642469
100.0,8.772268259756935,10.414339184605335,10.400124071489426,1.642070924848401,1.6278558117324913
104.0,11.34512884535365,13.108707556447152,13.094327136466601,1.763578711093503,1.7491982911129522
108.0,14.225781902929413,16.06856406758125,16.055386288477386,1.8427821646518368,1.8296043855479738
112.0,17.369631916213024,19.254716706582375,19.24363792080373,1.8850847903693513,1.8740060045907079
116.0,20.72944449699611,22.62839173610819,22.61982294554308,1.8989472391120792,1.8903784485469721
120.0,24.259727048171072,26.153630224098542,26.147577674181086,1.8939031759274698,1.8878506260100139
124.0,27.919730560592768,29.798691887661892,29.794880949648494,1.878961327069124,1.875150389055726
128.0,31.675064808333744,33.536645028946225,33.5346469067809,1.8615802206124812,1.8595820984471558
132.0,35.498155152528724,37.34536825515972,37.34470508742536,1.8472131026309953,1.846549934896636
136.0,39.36787565625899,41.207179610798455,41.207398172526354,1.8393039545394672,1.8395225162673654
140.0,43.268698057981396,45.10826946530886,45.1089838842845,1.8395714073274618,1.8402858263031021
144.0,47.18963913345718,49.03806528735721,49.03897466182388,1.8484261539000357,1.8493355283667015
148.0,51.12320678033687,52.98861143298198,52.98950002361431,1.8654046526451111,1.8662932432774397
152.0,55.064463996920665,56.9540108840316,56.954738059823875,1.8895468871109316,1.8902740629032095
156.0,59.01026423165746,60.929949806073864,60.93043536406508,1.9196855744164054,1.9201711324076243
160.0,62.95866619949881,64.91330883020433,64.91351750879342,1.9546426307055214,1.954851309294611
164.0,66.90850987373105,68.90185513613822,68.90178255454299,1.9933452624071748,1.9932726808119412
168.0,70.85912366925581,72.89400464479368,72.89366570568895,2.034880975537874,2.0345420364331375
172.0,74.81013086423954,76.88864212810842,76.88806212898703,2.078511263868876,2.077931264747491
176.0,78.76132673332839,80.88498744970968,80.88419569301425,2.123660716381295,2.12286895968586
180.0,82.71260352629443,84.88249751621304,84.8815229963449,2.169893989918606,2.1689194700504686
184.0,86.66390634554133,88.88079524147558,88.87966393183542,2.2168888959342468,2.215757586294089
188.0,90.61520813222235,92.87961855389969,92.87835185098113,2.26441042167734,2.2631437187587835
192.0,94.56649599257774,96.87878403040945,96.87739798702123,2.3122880378317063,2.3109019944434834
196.0,98.51776399093215,100.87816104850202,100.87666611453308,2.3603970575698696,2.3589021236009273
200.0,102.46900948834872,104.87765340059326,104.87605447072005,2.4086439122445427,2.407044982371332
204.0,106.42023135089515,108.87718613542127,108.87548277108777,2.4569547845261184,2.4552514201926243
208.0,110.3714291057809,112.87669601535443,112.87488276098703,2.505266909573521,2.5034536552061297
212.0,114.32260255928199,116.87612444426699,116.87419119574476,2.5535218849850025,2.5515886364627676
216.0,118.27375163066276,120.87541206331126,120.87334447227462,2.601660432648501,2.599592841611866
220.0,122.22487628298236,124.874494461168,124.87227437430847,2.6496181781856336,2.64739809132611
224.0,126.17597649551408,128.8732986250944,128.8709045655192,2.6973221295803285,2.694928070005119
228.0,130.12705225324942,132.87173988780282,132.8691475880033,2.744687634553401,2.742095334753884
232.0,134.0781035430939,136.86971921679674,136.86690221139276,2.791615673702836,2.7887986682988526
236.0,138.02913035255725,140.8671207574986,140.8640510401582,2.8379904049413653,2.834920687600942
240.0,141.9801326693264,144.8638095867233,144.8604583305508,2.8836769173969117,2.8803256612244184
244.0,145.93111048113377,148.8596296640774,148.85596799915808,2.9285191829436314,2.924857518024311
248.0,149.88206377571947,152.85440198944914,152.8504018257737,2.972338213729671,2.9683380500542285
252.0,153.83299254082084,156.8479229875717,156.84355786671802,3.014930446750867,3.0105653258971756
256.0,157.78389676416992,160.8399631476035,160.8352091026637,3.056066383433574,3.051312338493773
260.0,161.7347764334927,164.83026594817602,164.82510234870617,3.0954895146833223,3.0903259152134694
264.0,165.68563153650905,168.8185470974673,168.81295745482154,3.132915560958253,3.1273259183124935
268.0,169.63646206093276,172.8044941143907,172.7984668227111,3.1680320534579494,3.1620047617783484
272.0,173.5872679944715,176.78776627162387,176.7812952609277,3.200498277152377,3.194027266456203
276.0,177.53804932482672,180.76799491449907,180.76108019463044,3.2299455896723543,3.223030869803722
280.0,181.48880603969374,184.74478416224406,184.73743223974154,3.2559781225503173,3.248626200047795
284.0,185.43953812676176,188.7177119900421,188.70993614408974,3.2781738632803297,3.2703980173279774
288.0,189.3902455737138,192.6863316828755,192.6781520906623,3.296086109161706,3.28790651694851
292.0,193.34092836822674,196.6501736411254,196.64161735066529,3.3092452728986643,3.300688982438544
296.0,197.29158649797125,200.608747530784,200.59984826699568,3.3171610328127485,3.3082617690244263
300.0,201.24221995061185,204.56154465240397,204.55234254218254,3.3193247017921124,3.310122591570689
304.0,205.19282871380693,208.50804098264317,208.49858179906093,3.315212268836234,3.305753085253997
308.0,209.1434127752087,212.4476984883958,212.43803437754642,3.3042857131870846,3.2946216023377133
312.0,213.09397212246313,216.3799753435448,216.3701583269853,3.286003221081671,3.276186204522162
316.0,217.0445067432101,220.30429949759284,220.29440455073095,3.259792754382744,3.2498978075208527
320.0,220.9950166250832,224.22018879757354,224.2102200578576,3.225172172490346,3.215203432774416
324.0,224.94550175570996,228.12681938257117,228.11705127625814,3.1813176268612153,3.171549520548183
328.0,228.89596212271164,232.02456273675463,232.0143473817296,3.1286006140429947,3.1183852590179697
332.0,232.8463977137033,235.90986491030412,235.90156359895624,3.0634671966008113,3.055165885252933
336.0,236.79680851629394,239.79147736603522,239.77816443245402,2.994668849741288,2.9813559161600836
340.0,240.74719451808616,243.64174011694308,243.6436267884322,2.894545598856922,2.8964322703460255
344.0,244.6975557066765,247.53522924300538,247.4974429520267,2.8376735363288788,2.7998872453501917
348.0,248.64789206965523,251.27494295172653,251.33912338834006,2.627050882071302,2.691231318684828
352.0,252.59820359460647,255.3465653242942,255.16819934004891,2.74836172968773,2.5699957454424407
356.0,256.5484902691081,258.6144316515189,258.9842251988883,2.065941382410813,2.4357349297802102
360.0,260.4987520807318,263.57607876080107,262.78678063296564,3.077326680069291,2.288028552233868
364.0,264.44898901704295,265.0632990606472,266.5754724564932,0.6143100436042346,2.126483439450226
368.0,268.39920106560083,273.09881279162306,270.3499362330457,4.699611726022226,1.9507351674448614
372.0,272.3493882139585,269.52523178112983,274.1098376077788,2.8241564328286586,1.760449393820295
376.0,276.2995504496627,284.91321972639753,277.85487336809547,8.61366927673481,1.5553229184327506
380.0,280.249687760254,271.73827170220056,281.58477223597924,8.511416058053442,1.335084475725239
384.0,284.1998001332667,297.5818245099114,285.2992953985741,13.382024376644722,1.0994952653073824
388.0,288.1498875562289,275.7354724142051,288.99823678655054,12.414415142023813,0.8483492303216167
392.0,292.0999500166625,304.35620864230737,292.68142311234726,12.256258625644875,0.5814730956847711
396.0,296.04998750208307,289.37187049354225,296.3487136825028,6.6781170085408235,0.29872618041974874
400.0,300.0,300.0,300.0,0.0,0.0
